cur_topo missing1 missing2 missing3 missing4 missing5 missing6 missing7 missing8 missing9 missing10
178 0.191716 0.224049 0.094162 0.247607 0.310853 0.248139 0.280672 0.271194 0.224336 0.169704
178 0.185922 0.227457 0.090410 0.236053 0.303965 0.251812 0.287164 0.272427 0.225310 0.172139
178 0.185436 0.220279 0.105159 0.248821 0.305336 0.248298 0.281151 0.277640 0.227836 0.167242
179 0.245990 0.270308 0.263177 0.289742 0.218474 0.244301 0.535637 0.268685 0.209489 0.216768
179 0.233566 0.271790 0.267713 0.291469 0.211849 0.248643 0.531939 0.265775 0.195604 0.209490
179 0.247920 0.267450 0.260215 0.295079 0.227659 0.253656 0.524718 0.281777 0.194459 0.220288
1710 0.222974 0.362023 0.398762 0.374683 0.332048 0.377434 0.491714 0.267880 0.259913 0.188919
1710 0.221708 0.353926 0.397855 0.376790 0.327426 0.368460 0.490237 0.257821 0.257265 0.182386
1710 0.221376 0.357519 0.396348 0.375287 0.332013 0.369310 0.487533 0.267879 0.254363 0.180245
189 0.134099 0.411893 0.363144 0.372645 0.239761 0.390552 0.510528 0.300251 0.150024 0.245250
189 0.139787 0.412447 0.359521 0.362431 0.235337 0.391489 0.501063 0.293878 0.156827 0.237203
189 0.134815 0.419369 0.367399 0.376708 0.240658 0.394468 0.505210 0.300758 0.155788 0.245325
1810 0.281963 0.252085 0.369832 0.254875 0.317277 0.250396 0.452083 0.344485 0.294891 0.174100
1810 0.278170 0.250021 0.369950 0.247630 0.318023 0.241211 0.441395 0.334285 0.308608 0.166622
1810 0.289217 0.261332 0.377617 0.252227 0.319112 0.248461 0.456227 0.331675 0.298686 0.171765
1910 0.187322 0.234306 0.051400 0.246300 0.332694 0.255337 0.264663 0.191307 0.232703 0.144374
1910 0.176389 0.234373 0.052720 0.238992 0.326590 0.260146 0.260686 0.185396 0.229048 0.155330
1910 0.184844 0.231978 0.060933 0.247298 0.338283 0.255245 0.259738 0.184247 0.226058 0.149122
234 0.133101 0.262639 0.305863 0.254192 0.270070 0.241217 0.387575 0.227181 0.285412 0.226768
234 0.132045 0.251392 0.304547 0.264413 0.270659 0.233983 0.395778 0.219818 0.292919 0.223258
234 0.132440 0.255372 0.299731 0.271934 0.282244 0.247485 0.390040 0.232702 0.281317 0.222150
235 0.134946 0.258065 0.303828 0.269144 0.272012 0.243970 0.397464 0.225526 0.289179 0.220840
235 0.133966 0.248368 0.305534 0.269509 0.270054 0.230244 0.394479 0.228068 0.285559 0.225592
235 0.130144 0.259150 0.304098 0.263658 0.273854 0.235459 0.399959 0.223117 0.288044 0.226251
236 0.166423 0.220019 0.196811 0.259170 0.273685 0.135156 0.293313 0.257855 0.210454 0.210376
236 0.166580 0.219059 0.193173 0.242572 0.261540 0.139110 0.293805 0.247308 0.221110 0.201170
236 0.167964 0.224635 0.199248 0.245359 0.267092 0.145946 0.287332 0.256078 0.217012 0.207385
237 0.112464 0.311591 0.336079 0.187087 0.142531 0.291853 0.543976 0.165101 0.217616 0.502086
237 0.115853 0.309488 0.330746 0.187311 0.145010 0.292469 0.536835 0.164084 0.218710 0.507227
237 0.106798 0.311058 0.341099 0.183132 0.145972 0.286818 0.548146 0.173090 0.223781 0.518038
238 0.112784 0.236942 0.290794 0.193914 0.219039 0.150994 0.546686 0.173357 0.163852 0.490777
238 0.107997 0.234283 0.286787 0.188146 0.207009 0.158167 0.539457 0.187815 0.163254 0.491858
238 0.117456 0.244379 0.287291 0.185845 0.211551 0.150972 0.544838 0.169543 0.166917 0.495218
239 0.139321 0.245800 0.264316 0.185089 0.308244 0.196719 0.298536 0.340163 0.173641 0.198153
239 0.135071 0.240098 0.253703 0.177405 0.304469 0.186624 0.299363 0.344975 0.188517 0.195237
239 0.129543 0.250929 0.267642 0.188147 0.308284 0.187926 0.303410 0.334876 0.171120 0.202495
2310 0.151384 0.348170 0.291026 0.293155 0.355587 0.244632 0.262014 0.350007 0.097930 0.216550
2310 0.137844 0.338862 0.285782 0.283561 0.349219 0.258592 0.254838 0.358917 0.105038 0.204394
2310 0.145071 0.341120 0.291532 0.295281 0.352879 0.253257 0.258857 0.360890 0.103563 0.206987
245 0.213489 0.205073 0.064095 0.187798 0.332106 0.158598 0.281582 0.177607 0.323545 0.150258
245 0.220375 0.188025 0.068533 0.181497 0.325363 0.156658 0.259024 0.184379 0.315298 0.148148
245 0.210604 0.192505 0.062206 0.186378 0.328022 0.164537 0.271423 0.171851 0.314548 0.141519
246 0.185132 0.233627 0.125932 0.287398 0.260166 0.239863 0.252843 0.298594 0.300203 0.150615
246 0.182525 0.242961 0.123022 0.280723 0.261001 0.235154 0.265003 0.293109 0.302458 0.135929
246 0.180208 0.230524 0.123353 0.288352 0.252847 0.232143 0.265941 0.293625 0.295749 0.138005
247 0.240433 0.476986 0.098093 0.271672 0.392928 0.407520 0.512789 0.167079 0.411885 0.491839
247 0.232623 0.478786 0.093501 0.275867 0.400603 0.402881 0.514140 0.154728 0.423065 0.497682
247 0.244748 0.479757 0.089399 0.268040 0.400235 0.413998 0.515827 0.141176 0.424292 0.493113
248 0.174884 0.254371 0.216706 0.359982 0.273294 0.263266 0.511562 0.173060 0.191288 0.321866
248 0.182538 0.240164 0.204125 0.359547 0.274170 0.254182 0.512470 0.172971 0.196779 0.331025
248 0.178086 0.243956 0.196364 0.356597 0.285059 0.252476 0.518127 0.169025 0.195713 0.329583
249 0.202732 0.142379 0.163160 0.225413 0.228523 0.224775 0.244793 0.301214 0.265132 0.126924
249 0.198794 0.156989 0.142515 0.222557 0.225961 0.241998 0.247299 0.310764 0.279087 0.146573
249 0.202636 0.152787 0.160769 0.226449 0.237798 0.227680 0.247840 0.307147 0.272822 0.134341
2410 0.250734 0.297818 0.123410 0.317103 0.260290 0.352614 0.249637 0.376825 0.286199 0.111726
2410 0.249411 0.301467 0.123290 0.317013 0.257598 0.355682 0.257525 0.378160 0.288507 0.109940
2410 0.241551 0.298500 0.141349 0.317921 0.248686 0.348626 0.252243 0.372408 0.280341 0.112207
256 0.175306 0.227752 0.121602 0.281710 0.256848 0.231773 0.258425 0.303485 0.305651 0.141267
256 0.188947 0.228648 0.118604 0.275883 0.262940 0.235852 0.260579 0.306060 0.301273 0.131505
256 0.189972 0.233597 0.124809 0.280009 0.252006 0.235021 0.260179 0.302962 0.298176 0.128701
257 0.242611 0.481111 0.097439 0.263914 0.402063 0.419313 0.513807 0.145827 0.417181 0.490643
257 0.235250 0.480291 0.108703 0.275983 0.392651 0.406144 0.503111 0.161281 0.418363 0.490001
257 0.238596 0.479748 0.095425 0.268952 0.396372 0.400083 0.507473 0.163947 0.417233 0.496846
258 0.174880 0.244547 0.206192 0.362828 0.277226 0.251600 0.513066 0.177228 0.199755 0.328945
258 0.174996 0.245784 0.208695 0.366251 0.271008 0.257484 0.510337 0.173740 0.199454 0.322798
258 0.170782 0.250807 0.189262 0.361219 0.274733 0.254269 0.513576 0.170716 0.203829 0.328615
259 0.204503 0.147092 0.160899 0.222889 0.237843 0.232441 0.246092 0.310842 0.282074 0.134561
259 0.188653 0.147916 0.161036 0.228256 0.224889 0.232743 0.249373 0.303526 0.268923 0.136007
259 0.198284 0.157068 0.152967 0.226799 0.236189 0.224403 0.258249 0.308259 0.274373 0.131244
