cur_topo missing1 missing2 missing3 missing4 missing5 missing6 missing7 missing8
278 0.414886 0.189663 0.010191 0.444928 0.423701 0.008881 0.555576 0.538357
345 0.128061 0.189154 0.214099 0.309146 0.151651 0.463932 0.109004 0.010644
345 0.132154 0.193540 0.213617 0.303806 0.139772 0.470641 0.109517 0.009944
345 0.119773 0.194051 0.223004 0.307514 0.158699 0.471634 0.107377 0.009865
346 0.164585 0.085711 0.325253 0.213833 0.169841 0.522118 0.142790 0.002914
346 0.159417 0.099819 0.325928 0.211103 0.165210 0.522935 0.148779 0.018718
346 0.166548 0.087045 0.319666 0.216360 0.167395 0.524630 0.139539 0.007414
347 0.186099 0.094359 0.333301 0.207184 0.136118 0.519916 0.143473 0.007046
347 0.181281 0.101247 0.328054 0.196313 0.131573 0.514510 0.138991 0.009530
347 0.180063 0.099489 0.333690 0.214229 0.127980 0.517626 0.134287 0.005454
348 0.123833 0.155824 0.215460 0.185291 0.116494 0.015137 0.266290 0.359854
348 0.118940 0.153078 0.215441 0.183388 0.121116 0.020717 0.268095 0.358938
348 0.118174 0.149993 0.214421 0.186621 0.120882 0.012648 0.262079 0.361279
356 0.166331 0.094462 0.324184 0.206945 0.166401 0.524280 0.148638 0.012563
356 0.165959 0.100400 0.326254 0.215969 0.177696 0.524876 0.145500 0.007790
356 0.167552 0.097117 0.327268 0.229520 0.179790 0.529518 0.142338 0.014605
357 0.174586 0.093577 0.325887 0.194569 0.123772 0.509956 0.137964 0.004578
357 0.184288 0.104340 0.334341 0.210296 0.132745 0.524266 0.141146 0.008735
357 0.174931 0.100161 0.326418 0.203974 0.136813 0.517569 0.143333 0.009281
358 0.112450 0.162137 0.205814 0.179657 0.118006 0.013840 0.259092 0.362061
358 0.124063 0.157046 0.215332 0.178000 0.113850 0.010514 0.262369 0.362659
358 0.124000 0.154346 0.216971 0.184631 0.130933 0.009416 0.263753 0.364591
367 0.199776 0.210992 0.282418 0.298737 0.161948 0.478257 0.145480 0.010601
367 0.189811 0.213345 0.274581 0.303244 0.154017 0.475503 0.147805 0.018062
367 0.201030 0.221090 0.277570 0.297773 0.160024 0.479061 0.146670 0.008092
368 0.154788 0.224976 0.226523 0.336615 0.259934 0.015941 0.113476 0.531805
368 0.163002 0.228060 0.225171 0.331455 0.254762 0.019281 0.120012 0.535093
368 0.173152 0.231409 0.227011 0.336521 0.256919 0.018114 0.119184 0.534836
378 0.168492 0.221116 0.233142 0.341040 0.262874 0.020079 0.120801 0.532392
378 0.155748 0.226996 0.227478 0.344135 0.262684 0.013047 0.121237 0.540701
378 0.161661 0.211936 0.230835 0.344338 0.265441 0.017854 0.103006 0.528521
456 0.427368 0.233455 0.033575 0.295089 0.362612 0.257282 0.196078 0.078312
456 0.417995 0.235369 0.045728 0.291338 0.353970 0.253402 0.192935 0.065972
456 0.428944 0.234872 0.045294 0.296061 0.363049 0.262576 0.201261 0.077159
457 0.406337 0.226999 0.043980 0.335353 0.389558 0.249275 0.258844 0.076967
457 0.410967 0.211616 0.052871 0.337321 0.393343 0.247078 0.269011 0.079008
457 0.404641 0.223176 0.043262 0.340444 0.397161 0.254681 0.262935 0.065795
458 0.285924 0.221148 0.091663 0.287804 0.110939 0.012366 0.316091 0.290493
458 0.294979 0.226835 0.086083 0.294344 0.121072 0.013894 0.319542 0.297737
458 0.288952 0.217379 0.082886 0.298131 0.125944 0.016478 0.315293 0.296932
467 0.273358 0.021681 0.045093 0.241015 0.310047 0.419162 0.241994 0.207268
467 0.263889 0.020163 0.038484 0.241494 0.299914 0.425329 0.233364 0.203232
467 0.272859 0.010454 0.043761 0.244669 0.302090 0.417998 0.228294 0.215012
468 0.270861 0.155620 0.143863 0.181202 0.325842 0.016345 0.256841 0.419033
468 0.276412 0.166877 0.140625 0.190820 0.325471 0.016646 0.268821 0.418562
468 0.270405 0.170799 0.144363 0.177940 0.323866 0.014910 0.269974 0.422416
478 0.267196 0.160775 0.140864 0.184725 0.320910 0.007768 0.258196 0.506075
478 0.279927 0.165000 0.148055 0.196774 0.326853 0.015869 0.267146 0.510594
478 0.278763 0.171469 0.145482 0.179467 0.327203 0.009602 0.267186 0.510390
567 0.273268 0.020061 0.054906 0.232728 0.306289 0.423862 0.229258 0.208482
567 0.274067 0.019927 0.049290 0.241411 0.295066 0.422694 0.234842 0.208393
567 0.278106 0.024577 0.044093 0.239652 0.302870 0.423722 0.240218 0.200885
568 0.279492 0.163171 0.145854 0.183642 0.324781 0.012218 0.265171 0.430858
568 0.273045 0.159124 0.141532 0.175990 0.318982 0.012186 0.255120 0.408872
568 0.273953 0.175366 0.150576 0.189551 0.324883 0.011858 0.258726 0.425348
578 0.268644 0.169008 0.140745 0.176034 0.325187 0.018000 0.265564 0.516840
578 0.268867 0.162162 0.144602 0.177465 0.317808 0.010906 0.256475 0.507613
578 0.274340 0.157462 0.154096 0.189725 0.328856 0.011657 0.260859 0.504016
678 0.284797 0.226449 0.086817 0.296263 0.114352 0.013832 0.317999 0.247157
678 0.286065 0.227768 0.088387 0.291625 0.112474 0.014323 0.314903 0.241621
678 0.286156 0.228294 0.087102 0.296359 0.115018 0.009745 0.322626 0.234310
