cur_topo missing1 missing2 missing3 missing4 missing5 missing6 missing7 missing8
567 0.129165 0.113740 0.052288 0.099775 0.142541 0.274049 0.075197 0.087952
567 0.131099 0.117502 0.052897 0.106604 0.150300 0.270209 0.069061 0.086410
568 0.197854 0.098592 0.053117 0.124068 0.105777 0.051192 0.221375 0.264532
568 0.204118 0.095890 0.052932 0.117372 0.102331 0.049019 0.219268 0.271648
568 0.199607 0.094713 0.059775 0.121922 0.102908 0.049047 0.213723 0.277969
578 0.208336 0.104548 0.044226 0.129471 0.117401 0.056178 0.213201 0.270096
578 0.207186 0.093606 0.054371 0.124179 0.100304 0.047729 0.226517 0.278035
578 0.195133 0.090142 0.056679 0.128579 0.095314 0.048310 0.230600 0.270954
678 0.184401 0.214239 0.022325 0.124795 0.131169 0.044401 0.198427 0.117603
678 0.190460 0.210900 0.027089 0.133292 0.140088 0.036954 0.183452 0.124982
678 0.184641 0.207287 0.030268 0.119774 0.124793 0.042751 0.203176 0.122309
