cur_topo missing1 missing2 missing3 missing4 missing5 missing6 missing7 missing8 missing9
59 0.106037 0.061799 0.042262 0.091385 0.124786 0.238156 0.041677 0.034815 0.091808
59 0.100320 0.052765 0.054944 0.082692 0.107733 0.245215 0.060306 0.022517 0.080780
67 0.175981 0.126239 0.081205 0.183784 0.139468 0.165250 0.056394 0.070130 0.085528
67 0.180015 0.118910 0.076439 0.179713 0.132184 0.157418 0.044869 0.073104 0.082355
67 0.173755 0.116643 0.082837 0.183947 0.135018 0.150893 0.042836 0.077097 0.086993
68 0.262965 0.137893 0.065844 0.115835 0.127141 0.046554 0.255831 0.289240 0.223640
68 0.278523 0.143220 0.056259 0.106312 0.116164 0.062614 0.239960 0.277841 0.220611
68 0.280269 0.157389 0.064486 0.102936 0.117815 0.058552 0.259011 0.290300 0.210767
69 0.291104 0.202738 0.159092 0.122505 0.220852 0.361551 0.103234 0.166892 0.063531
69 0.280665 0.193099 0.151135 0.128574 0.223449 0.374222 0.085837 0.185311 0.052244
69 0.306124 0.204036 0.154991 0.113289 0.212832 0.376818 0.100513 0.186797 0.048351
78 0.199782 0.115965 0.134414 0.185944 0.148860 0.045908 0.258695 0.300724 0.195844
78 0.191859 0.125905 0.125886 0.193550 0.152641 0.044090 0.243011 0.288377 0.183232
78 0.199929 0.132588 0.123466 0.183307 0.148653 0.059407 0.249351 0.289345 0.176849
79 0.274921 0.135884 0.114631 0.222150 0.221385 0.284847 0.071863 0.074255 0.065145
79 0.279200 0.141859 0.102806 0.217273 0.218481 0.287191 0.066035 0.082598 0.062630
79 0.271350 0.134942 0.118663 0.228865 0.225840 0.285225 0.063983 0.074581 0.064326
89 0.169726 0.102034 0.034867 0.183096 0.150246 0.040087 0.187773 0.078637 0.163780
89 0.161163 0.089325 0.027677 0.185547 0.144565 0.036363 0.201471 0.079065 0.163732
89 0.161219 0.090549 0.043104 0.190573 0.155798 0.042343 0.201231 0.073591 0.159490
