cur_topo missing1 missing2 missing3 missing4 missing5 missing6 missing7 missing8 missing9
59 0.057493 0.031306 0.012626 0.136209 0.159034 0.389872 0.024081 0.116432 0.028688
67 0.293093 0.131945 0.055089 0.246990 0.200939 0.333115 0.037036 0.078988 0.067352
67 0.294174 0.134143 0.036188 0.248595 0.199006 0.339980 0.046704 0.084927 0.070464
67 0.289319 0.129329 0.057632 0.255110 0.208359 0.326500 0.028235 0.075533 0.059464
68 0.266777 0.088852 0.059802 0.135044 0.142052 0.113240 0.317092 0.158068 0.272218
68 0.278466 0.088804 0.056998 0.134022 0.137976 0.111596 0.320992 0.166638 0.263214
68 0.267964 0.092640 0.063496 0.131528 0.144338 0.106036 0.325375 0.163516 0.277418
69 0.511699 0.091758 0.092445 0.126232 0.311211 0.495445 0.071199 0.435435 0.052986
69 0.510235 0.108701 0.075435 0.128121 0.317097 0.507820 0.052820 0.435495 0.055101
69 0.520099 0.114378 0.079949 0.110728 0.309323 0.507473 0.062585 0.437944 0.043018
78 0.217982 0.142030 0.135877 0.201867 0.164537 0.156148 0.284355 0.265375 0.304930
78 0.218812 0.141723 0.127570 0.191932 0.161438 0.163903 0.280264 0.258833 0.305475
78 0.207682 0.140294 0.137944 0.195173 0.162482 0.147561 0.285631 0.268729 0.312609
79 0.407025 0.108578 0.073727 0.189390 0.254240 0.383581 0.071355 0.378897 0.038032
79 0.405564 0.114973 0.057802 0.192984 0.260961 0.387138 0.061894 0.380235 0.043869
79 0.402578 0.099011 0.067659 0.196748 0.260437 0.385343 0.060184 0.361324 0.041975
89 0.158001 0.110560 0.025667 0.194045 0.171424 0.042471 0.266195 0.100993 0.229792
89 0.153700 0.103550 0.024375 0.199756 0.177549 0.046619 0.258324 0.095069 0.226732
89 0.155237 0.105166 0.028802 0.191848 0.174214 0.043319 0.270968 0.089517 0.227123
