cur_topo missing1 missing2 missing3 missing4 missing5 missing6 missing7 missing8 missing9 missing10
246 0.223158 0.184468 0.097447 0.222813 0.121261 0.197062 0.228837 0.193125 0.284796 0.103292
246 0.221133 0.191104 0.094766 0.223096 0.122571 0.211774 0.224310 0.190005 0.286977 0.115134
247 0.215948 0.309094 0.162701 0.226189 0.131161 0.246289 0.395779 0.390805 0.290596 0.290872
247 0.211867 0.302724 0.146949 0.216762 0.130658 0.243394 0.404084 0.371223 0.293277 0.283263
247 0.204471 0.312996 0.149835 0.209618 0.129039 0.241954 0.403505 0.383160 0.295851 0.289453
248 0.170261 0.370058 0.085118 0.196894 0.166028 0.355148 0.444044 0.338557 0.390201 0.341339
248 0.163121 0.376073 0.077369 0.190649 0.174407 0.357124 0.447851 0.329155 0.403223 0.347513
248 0.184405 0.367710 0.088239 0.196984 0.160618 0.358878 0.456275 0.316694 0.400974 0.346838
249 0.224045 0.136575 0.123775 0.206488 0.115724 0.248995 0.164337 0.288751 0.281957 0.075504
249 0.233523 0.133818 0.128878 0.198059 0.126948 0.248964 0.168326 0.288614 0.285307 0.079779
249 0.219832 0.135083 0.132799 0.203021 0.111267 0.244178 0.177198 0.292926 0.288192 0.059246
2410 0.189429 0.132131 0.128006 0.256472 0.198453 0.402058 0.198438 0.287825 0.294807 0.144275
2410 0.183165 0.138938 0.129470 0.248693 0.192793 0.412348 0.204043 0.295408 0.291866 0.129791
2410 0.198158 0.134483 0.130824 0.250558 0.191581 0.407956 0.203807 0.299309 0.301598 0.125201
256 0.215291 0.195338 0.090665 0.221607 0.120061 0.207317 0.229777 0.194399 0.294819 0.106687
256 0.225946 0.189657 0.090551 0.230024 0.112229 0.205588 0.218759 0.180278 0.293600 0.119249
256 0.215940 0.175612 0.085618 0.226231 0.120726 0.215600 0.225882 0.180662 0.297818 0.116252
257 0.208532 0.314379 0.144173 0.214023 0.123735 0.245628 0.400563 0.371035 0.295229 0.284708
257 0.208894 0.305804 0.149079 0.226446 0.130706 0.239596 0.401232 0.376017 0.294558 0.282312
257 0.216630 0.306179 0.165684 0.218080 0.130008 0.245894 0.399985 0.383100 0.293021 0.288284
258 0.168489 0.369655 0.080339 0.202358 0.172876 0.350653 0.445570 0.322796 0.391923 0.349116
258 0.163129 0.369155 0.082630 0.207540 0.170343 0.354348 0.451631 0.326487 0.400223 0.350039
258 0.171253 0.354803 0.079641 0.201443 0.164590 0.351946 0.460816 0.334446 0.395151 0.344857
259 0.227776 0.144227 0.128794 0.197242 0.120743 0.248604 0.176371 0.294403 0.287196 0.080595
259 0.232527 0.144982 0.134752 0.203117 0.122431 0.250910 0.164903 0.285709 0.280792 0.079075
259 0.233339 0.136502 0.128384 0.208065 0.122803 0.243168 0.163707 0.277973 0.278116 0.089806
2510 0.177692 0.141424 0.127965 0.244876 0.181032 0.404616 0.196493 0.285983 0.305189 0.131575
2510 0.181316 0.143667 0.124178 0.249715 0.185014 0.412292 0.207192 0.295100 0.302840 0.128838
2510 0.196424 0.130283 0.127858 0.247602 0.190145 0.406952 0.218375 0.290549 0.304081 0.128004
267 0.277274 0.149865 0.086004 0.139517 0.237016 0.201235 0.445998 0.278359 0.352094 0.152564
267 0.283602 0.143001 0.093588 0.147050 0.232596 0.186638 0.455656 0.274906 0.353849 0.163546
267 0.284616 0.145565 0.084591 0.146050 0.234157 0.183696 0.452342 0.285031 0.351319 0.159570
268 0.236312 0.187168 0.136051 0.245815 0.224352 0.242917 0.425451 0.354936 0.351483 0.178672
268 0.241411 0.189618 0.138789 0.246754 0.221108 0.230804 0.426284 0.348194 0.352969 0.181081
