cur_topo missing1 missing2 missing3 missing4 missing5 missing6 missing7 missing8
367 0.088626 0.323534 0.058247 0.271852 0.122836 0.462671 0.035403 0.080988
367 0.090508 0.321891 0.051066 0.267008 0.128211 0.466233 0.018034 0.070404
368 0.081944 0.308657 0.126485 0.200710 0.156998 0.192976 0.157786 0.249836
368 0.076184 0.304704 0.128130 0.196498 0.156114 0.199015 0.144231 0.242157
368 0.085526 0.317694 0.135058 0.195381 0.146444 0.193155 0.150402 0.257982
378 0.087738 0.308634 0.134084 0.199230 0.154359 0.203669 0.139903 0.250166
378 0.072812 0.298861 0.121523 0.211409 0.160285 0.192248 0.153040 0.246652
378 0.078239 0.308584 0.132761 0.196395 0.162701 0.201021 0.149491 0.248000
456 0.492980 0.102672 0.079630 0.176768 0.275318 0.458570 0.066026 0.425723
456 0.495918 0.109166 0.077160 0.182801 0.288145 0.468423 0.061497 0.422604
456 0.496758 0.100140 0.072336 0.173811 0.274675 0.453221 0.060308 0.418992
457 0.501250 0.100433 0.073233 0.185863 0.283263 0.461790 0.057680 0.413839
457 0.504095 0.105600 0.074888 0.186236 0.279977 0.462275 0.064576 0.421842
457 0.499773 0.101160 0.087520 0.185680 0.278052 0.448524 0.073841 0.411402
458 0.195125 0.190597 0.043078 0.153108 0.158935 0.084920 0.318558 0.044381
458 0.193723 0.193214 0.048024 0.158698 0.161407 0.084707 0.333020 0.042227
458 0.192063 0.189250 0.050551 0.156756 0.168868 0.087794 0.313253 0.036417
467 0.082055 0.080419 0.044439 0.162273 0.212700 0.419407 0.020985 0.250538
467 0.073083 0.077975 0.032975 0.157588 0.200579 0.427614 0.023809 0.263973
467 0.084704 0.085859 0.045818 0.156750 0.209905 0.418663 0.022816 0.268994
468 0.261691 0.059465 0.035647 0.207516 0.142163 0.090526 0.250870 0.238076
468 0.261550 0.061604 0.050071 0.209513 0.140415 0.080831 0.263516 0.246511
468 0.268371 0.059654 0.043284 0.209398 0.144573 0.077586 0.260463 0.246624
478 0.273947 0.074795 0.035496 0.216610 0.146779 0.096036 0.253473 0.243773
478 0.265861 0.069169 0.052044 0.219884 0.150218 0.085317 0.254587 0.237517
478 0.265707 0.068161 0.036047 0.209269 0.136008 0.082765 0.265165 0.242247
567 0.084402 0.080622 0.042735 0.153819 0.205453 0.424415 0.016357 0.259155
567 0.069584 0.084277 0.032571 0.151601 0.199963 0.422699 0.035446 0.257947
567 0.088414 0.072613 0.034722 0.163357 0.207602 0.414668 0.026619 0.257668
568 0.264709 0.064541 0.041772 0.211214 0.139570 0.085807 0.256211 0.240606
568 0.262120 0.062657 0.051409 0.208014 0.136569 0.085582 0.258626 0.250360
568 0.273634 0.070502 0.038823 0.209153 0.141540 0.090086 0.249727 0.241501
578 0.266630 0.066853 0.042767 0.208146 0.137832 0.078329 0.252996 0.250654
578 0.268616 0.072757 0.047161 0.214734 0.138481 0.080703 0.251284 0.250465
578 0.275109 0.062656 0.038601 0.217942 0.136260 0.080988 0.256839 0.234072
678 0.197740 0.191926 0.044011 0.145216 0.154587 0.079693 0.325044 0.045733
678 0.198866 0.188674 0.051253 0.150776 0.164684 0.079406 0.326647 0.036467
678 0.193310 0.181181 0.039610 0.159414 0.159921 0.077114 0.317157 0.049699
