cur_topo missing1 missing2 missing3 missing4 missing5 missing6 missing7 missing8 missing9 missing10
169 0.205484 0.113081 0.117680 0.172031 0.107850 0.168627 0.135658 0.222332 0.232532 0.127472
169 0.196459 0.111903 0.110168 0.158698 0.122078 0.177556 0.140936 0.226330 0.223935 0.127621
169 0.200020 0.108781 0.107588 0.168225 0.114212 0.168360 0.141442 0.226289 0.215419 0.124617
1610 0.182538 0.129470 0.123965 0.203510 0.168900 0.323932 0.167118 0.254099 0.200279 0.153624
1610 0.176370 0.128392 0.120780 0.206528 0.167911 0.324058 0.179505 0.260056 0.210713 0.146190
1610 0.181772 0.128439 0.121440 0.213323 0.170899 0.313145 0.177407 0.260619 0.209851 0.151167
178 0.171584 0.157583 0.100556 0.160060 0.116448 0.272666 0.228919 0.143030 0.226931 0.113330
178 0.169366 0.153849 0.097443 0.161480 0.120225 0.259803 0.232547 0.140728 0.210927 0.111659
178 0.164881 0.156861 0.093636 0.160722 0.110599 0.266829 0.234527 0.140556 0.217474 0.120824
179 0.252684 0.230163 0.179113 0.324429 0.201149 0.230795 0.350135 0.256213 0.222596 0.362682
179 0.243260 0.231032 0.176157 0.320446 0.199022 0.230212 0.339295 0.256327 0.230683 0.353872
179 0.244151 0.222218 0.181968 0.333485 0.196482 0.221170 0.362380 0.234575 0.229547 0.360726
1710 0.220835 0.189019 0.169074 0.205681 0.193351 0.277473 0.351876 0.326690 0.170693 0.264187
1710 0.222892 0.187186 0.173113 0.203802 0.192717 0.276808 0.348938 0.329724 0.173147 0.271065
1710 0.221149 0.184914 0.175625 0.206985 0.183639 0.278059 0.353720 0.341249 0.177100 0.271480
189 0.213096 0.185522 0.179666 0.199866 0.181433 0.277594 0.350048 0.337856 0.179231 0.272364
189 0.219490 0.179355 0.168887 0.211605 0.191439 0.280844 0.343027 0.335081 0.167622 0.270819
189 0.206580 0.178875 0.178679 0.212705 0.180027 0.266070 0.343553 0.332593 0.183760 0.265024
1810 0.246358 0.222734 0.180316 0.335463 0.207138 0.225266 0.352696 0.259078 0.214732 0.356114
1810 0.252592 0.217447 0.186746 0.337493 0.199334 0.227213 0.347156 0.262920 0.236353 0.361949
1810 0.248592 0.210127 0.179482 0.335790 0.198531 0.225403 0.352691 0.258880 0.225533 0.362734
1910 0.158350 0.159295 0.097324 0.167361 0.125562 0.256611 0.235032 0.145829 0.221973 0.116860
1910 0.167683 0.167205 0.097524 0.163129 0.118983 0.264340 0.243917 0.142530 0.223552 0.118532
1910 0.167743 0.164708 0.094286 0.165539 0.116137 0.271145 0.235192 0.131376 0.219711 0.117131
234 0.093398 0.237430 0.138837 0.117370 0.066932 0.179698 0.252267 0.223287 0.133121 0.216130
234 0.091881 0.238528 0.145501 0.114252 0.066701 0.174386 0.245871 0.218441 0.124828 0.218438
234 0.101864 0.234189 0.143199 0.132918 0.074687 0.175704 0.248599 0.214964 0.132516 0.227071
235 0.083137 0.240306 0.155781 0.118491 0.059457 0.170011 0.233080 0.215585 0.127188 0.220044
235 0.099026 0.238026 0.151684 0.116380 0.068173 0.192273 0.244449 0.223203 0.117813 0.202646
235 0.094237 0.248636 0.160390 0.111583 0.054435 0.175645 0.243814 0.213392 0.123795 0.217408
236 0.078120 0.185221 0.079855 0.127507 0.076424 0.152669 0.246634 0.208966 0.098714 0.251197
236 0.078394 0.202902 0.081852 0.120964 0.082968 0.162230 0.249526 0.224313 0.098939 0.234027
236 0.072594 0.191921 0.084188 0.124440 0.080541 0.153494 0.254988 0.220421 0.102144 0.238040
237 0.104551 0.203107 0.081712 0.105999 0.082247 0.124428 0.303853 0.164012 0.083549 0.393064
237 0.104590 0.204880 0.075012 0.109110 0.088710 0.132028 0.302434 0.154341 0.094589 0.377941
237 0.091388 0.207359 0.095032 0.110014 0.089591 0.141781 0.299990 0.161587 0.084502 0.386880
238 0.092013 0.240716 0.084757 0.098511 0.092397 0.161734 0.301158 0.155466 0.084406 0.385359
238 0.100738 0.219464 0.089267 0.095686 0.076989 0.166204 0.302095 0.138910 0.086610 0.399181
238 0.106187 0.237894 0.074306 0.103547 0.080631 0.160419 0.303479 0.158848 0.103583 0.386788
239 0.108716 0.194703 0.174410 0.075517 0.107956 0.183306 0.182025 0.314955 0.116261 0.245806
239 0.105245 0.196617 0.164965 0.073619 0.100821 0.184087 0.178807 0.315326 0.116684 0.244919
239 0.116085 0.203583 0.169265 0.073264 0.108709 0.191296 0.170819 0.312315 0.123803 0.247160
2310 0.112682 0.193617 0.224704 0.100382 0.084159 0.190653 0.168143 0.237382 0.131609 0.267310
2310 0.116022 0.194294 0.208891 0.092406 0.076289 0.197443 0.166806 0.232527 0.140275 0.254413
2310 0.113050 0.199249 0.214697 0.102522 0.077431 0.186358 0.174455 0.232868 0.126167 0.260914
245 0.157873 0.132726 0.078331 0.091820 0.207155 0.169487 0.238603 0.117023 0.214853 0.104321
245 0.163562 0.118982 0.087580 0.082388 0.191016 0.185302 0.245885 0.126310 0.210650 0.096139
245 0.164923 0.132554 0.080114 0.093594 0.188837 0.165851 0.244920 0.130507 0.211915 0.101739
246 0.172818 0.150829 0.073424 0.211036 0.077814 0.144594 0.236990 0.155967 0.262730 0.142256
246 0.180392 0.141191 0.078714 0.219418 0.106190 0.162443 0.243623 0.158133 0.253323 0.137506
246 0.185465 0.144128 0.067965 0.209492 0.089126 0.151098 0.243448 0.161231 0.264027 0.139130
247 0.178942 0.227733 0.110818 0.175204 0.088509 0.148705 0.346535 0.239167 0.273901 0.260153
247 0.172723 0.222545 0.111884 0.175420 0.082383 0.152001 0.349532 0.246107 0.279713 0.270621
247 0.170423 0.223907 0.115051 0.178720 0.101218 0.142657 0.350409 0.237757 0.272619 0.256892
248 0.147335 0.240287 0.084894 0.202105 0.097025 0.266646 0.414491 0.182676 0.192773 0.285081
248 0.149297 0.238096 0.088154 0.208552 0.111939 0.266605 0.405470 0.190899 0.179351 0.281367
248 0.146417 0.232630 0.092033 0.203436 0.104279 0.270984 0.413650 0.175477 0.174846 0.280364
249 0.192371 0.116142 0.106444 0.170841 0.109693 0.174857 0.139945 0.223340 0.221153 0.119860
249 0.195777 0.112837 0.110824 0.171147 0.114062 0.162146 0.142692 0.227948 0.224748 0.131064
249 0.210942 0.108476 0.111006 0.172187 0.119690 0.168961 0.138850 0.217583 0.213491 0.127311
2410 0.182076 0.126213 0.134622 0.215426 0.164101 0.320496 0.179876 0.252664 0.195316 0.148735
2410 0.166468 0.136224 0.122251 0.197648 0.163543 0.325473 0.162017 0.252234 0.208464 0.152869
2410 0.184055 0.131646 0.132928 0.206877 0.166563 0.320429 0.158652 0.248990 0.201973 0.164363
256 0.179067 0.146133 0.075782 0.217579 0.090105 0.149416 0.235198 0.147998 0.259594 0.136801
256 0.179006 0.144599 0.076250 0.216176 0.088713 0.149896 0.249566 0.167494 0.255345 0.135336
256 0.173868 0.156891 0.069185 0.215656 0.094560 0.151689 0.248843 0.159842 0.253192 0.137320
257 0.178010 0.229308 0.113583 0.174699 0.089143 0.149164 0.334690 0.244875 0.268742 0.263744
257 0.180634 0.220235 0.113869 0.184241 0.089688 0.131855 0.343710 0.240612 0.272844 0.269507
257 0.167360 0.230339 0.103693 0.167720 0.081114 0.150021 0.340143 0.238909 0.280833 0.271362
258 0.144046 0.233253 0.087589 0.205429 0.092719 0.267361 0.415285 0.197346 0.184053 0.271559
258 0.146944 0.230143 0.085110 0.200884 0.100634 0.270236 0.414640 0.189810 0.196648 0.280104
258 0.147575 0.234137 0.091966 0.207933 0.093211 0.262190 0.409479 0.191960 0.183171 0.272778
259 0.209009 0.107254 0.110871 0.169143 0.106223 0.170167 0.142304 0.227415 0.229306 0.118820
259 0.204176 0.120048 0.103153 0.172429 0.126979 0.170146 0.143547 0.215580 0.219682 0.126199
259 0.192519 0.116023 0.097705 0.167379 0.115613 0.170633 0.137095 0.232005 0.231545 0.135112
2510 0.173124 0.130387 0.129348 0.213947 0.163314 0.322129 0.174618 0.254544 0.203212 0.152145
2510 0.173398 0.132529 0.127377 0.214797 0.167682 0.312451 0.173600 0.262017 0.206011 0.144732
2510 0.168603 0.134449 0.126970 0.208886 0.172469 0.311962 0.161272 0.253185 0.208913 0.158025
267 0.226299 0.147465 0.088799 0.135502 0.207821 0.167586 0.374477 0.239539 0.239721 0.173340
267 0.219364 0.130223 0.084339 0.147930 0.208009 0.166571 0.367642 0.238182 0.243898 0.179128
267 0.222842 0.149416 0.096018 0.132366 0.206550 0.173714 0.371054 0.240619 0.242045 0.185915
268 0.225049 0.131596 0.088721 0.166619 0.163005 0.204555 0.362273 0.223290 0.256412 0.166884
268 0.215332 0.137759 0.086946 0.165989 0.171550 0.190305 0.371287 0.221244 0.257531 0.161057
268 0.227289 0.125900 0.087110 0.172621 0.163951 0.188222 0.377753 0.218629 0.264542 0.170022
269 0.229372 0.108761 0.135206 0.116476 0.236366 0.184612 0.162594 0.242239 0.241737 0.124574
269 0.236887 0.115258 0.143848 0.120595 0.231112 0.174482 0.160577 0.247404 0.247523 0.127229
269 0.243169 0.113029 0.134960 0.108770 0.233059 0.176376 0.154464 0.241441 0.240633 0.131549
2610 0.294720 0.073862 0.145134 0.159861 0.199296 0.223929 0.154191 0.263426 0.285952 0.110273
2610 0.297454 0.077379 0.151964 0.152176 0.201668 0.223723 0.149889 0.266959 0.291672 0.103471
2610 0.292060 0.090217 0.143567 0.154223 0.205553 0.228553 0.150566 0.266662 0.290594 0.096481
278 0.197819 0.111057 0.074062 0.166699 0.151374 0.196932 0.261528 0.170560 0.287495 0.115686
278 0.203932 0.093245 0.071069 0.168020 0.145071 0.197353 0.258404 0.159868 0.298215 0.122596
278 0.195334 0.103876 0.065523 0.168904 0.151972 0.191699 0.260868 0.162970 0.303536 0.118863
279 0.424924 0.095434 0.230422 0.095599 0.269592 0.166524 0.406229 0.320692 0.265400 0.179429
279 0.436407 0.092762 0.241376 0.097062 0.255964 0.178285 0.403352 0.316058 0.272742 0.192094
279 0.426316 0.096856 0.232866 0.102187 0.266833 0.179060 0.412729 0.318394 0.264652 0.197897
2710 0.453144 0.145912 0.292348 0.235030 0.275613 0.199404 0.388710 0.270613 0.255302 0.309852
2710 0.469625 0.158021 0.297265 0.230260 0.270497 0.198778 0.390540 0.264672 0.246065 0.312639
2710 0.455164 0.160942 0.285876 0.238336 0.267681 0.208694 0.376044 0.290692 0.247914 0.309286
289 0.463541 0.158479 0.292637 0.243306 0.271926 0.195099 0.373233 0.278585 0.266608 0.302717
289 0.447853 0.155847 0.279240 0.233813 0.285734 0.185982 0.397660 0.268086 0.240262 0.303473
289 0.444567 0.169762 0.280318 0.232482 0.280530 0.192036 0.382043 0.279979 0.253576 0.296373
2810 0.428041 0.093125 0.215536 0.103380 0.270506 0.173701 0.403812 0.321101 0.256756 0.188872
2810 0.431639 0.097244 0.236204 0.098674 0.255278 0.173789 0.404643 0.310790 0.275260 0.182258
2810 0.434767 0.094635 0.231782 0.109363 0.264827 0.180368 0.408935 0.322250 0.273596 0.177386
2910 0.205102 0.104476 0.059073 0.171182 0.144867 0.196280 0.261394 0.156850 0.288647 0.113043
2910 0.204296 0.098238 0.066664 0.175105 0.155007 0.190500 0.264541 0.149510 0.299679 0.118518
2910 0.200767 0.103592 0.065677 0.157541 0.150873 0.198507 0.260777 0.159376 0.299413 0.126112
345 0.077655 0.198110 0.055561 0.160036 0.071141 0.124600 0.222788 0.244151 0.089059 0.239332
345 0.079938 0.206850 0.049241 0.161322 0.079141 0.125540 0.226727 0.238450 0.082451 0.239358
345 0.080065 0.210694 0.057858 0.160456 0.072712 0.120531 0.224805 0.235014 0.074952 0.236264
